"Subject"	"numEV2"	"numTrials"	"numArtifact"	"numCorrect"	"numIncorrect"	"numMiss"	"Match"
"001"	200	200	2	187	7	4	TRUE
"003"	200	200	1	177	19	3	TRUE
"005"	200	200	1	185	12	2	TRUE
"006"	200	200	4	189	7	0	TRUE
"008"	200	200	1	193	5	1	TRUE
"011"	200	200	9	184	7	0	TRUE
"012"	200	200	5	182	12	1	TRUE
"017"	200	200	0	173	27	0	TRUE
"018"	200	200	2	188	7	3	TRUE
"019"	200	200	4	138	58	0	TRUE
"020"	200	200	0	183	17	0	TRUE
"023"	200	200	7	141	49	3	TRUE
"024"	150	150	6	137	6	1	TRUE
"028"	200	200	14	178	7	1	TRUE
"031"	200	200	3	166	30	1	TRUE
"032"	200	200	3	160	21	16	TRUE
"034"	200	200	31	165	4	0	TRUE
"035"	200	200	14	171	14	1	TRUE
"036"	200	200	32	155	13	0	TRUE
"037"	200	200	5	184	10	1	TRUE
"039"	199	199	3	89	105	2	TRUE
"040"	200	200	3	146	51	0	TRUE
"041"	200	200	1	175	19	5	TRUE
"042"	200	200	3	190	7	0	TRUE
"043"	200	200	3	194	3	0	TRUE
"044"	200	200	50	127	23	0	TRUE
"045"	200	200	13	176	11	0	TRUE
"046"	200	200	1	193	6	0	TRUE
"047"	200	200	1	184	14	1	TRUE
"050"	200	200	0	176	22	2	TRUE
"051"	200	200	23	147	30	0	TRUE
"052"	200	200	3	180	16	1	TRUE
"054"	200	200	14	180	6	0	TRUE
"057"	200	200	2	194	4	0	TRUE
"060"	200	200	11	167	20	2	TRUE
"061"	200	200	4	153	42	1	TRUE
"062"	200	200	16	169	12	3	TRUE
"063"	200	200	32	161	7	0	TRUE
"064"	200	200	24	157	19	0	TRUE
"066"	200	200	16	93	74	17	TRUE
"067"	200	200	63	131	4	2	TRUE
"068"	195	195	10	175	8	2	TRUE
"069"	200	200	72	126	2	0	TRUE
"070"	200	200	10	182	6	2	TRUE
"071"	200	200	3	166	31	0	TRUE
"072"	200	200	0	197	2	1	TRUE
"073"	200	200	23	165	12	0	TRUE
"079"	200	200	6	168	15	11	TRUE
"080"	200	200	34	144	21	1	TRUE
"087"	200	200	20	167	13	0	TRUE
"088"	200	200	78	111	8	3	TRUE
"089"	200	200	5	191	4	0	TRUE
"091"	200	200	4	182	12	2	TRUE
"092"	200	200	65	120	15	0	TRUE
"093"	200	200	23	87	89	1	TRUE
"094"	200	200	28	163	7	2	TRUE
"095"	200	200	0	178	17	5	TRUE
"096"	200	200	6	172	21	1	TRUE
"097"	200	200	4	181	15	0	TRUE
"098"	200	200	2	185	12	1	TRUE
"099"	200	200	4	170	22	4	TRUE
"100"	200	200	1	165	34	0	TRUE
"101"	200	200	0	190	9	1	TRUE
"103"	200	200	22	169	8	1	TRUE
"105"	200	200	17	177	4	2	TRUE
"106"	200	200	17	126	52	5	TRUE
"107"	200	200	7	174	19	0	TRUE
"108"	200	200	10	176	14	0	TRUE
"109"	198	198	14	174	8	2	TRUE
"113"	200	200	10	94	92	4	TRUE
"114"	200	200	38	124	36	2	TRUE
"115"	200	200	12	178	7	3	TRUE
"116"	200	200	11	181	8	0	TRUE
