"Subject"	"numConLeft"	"numConRight"	"numInconLeft"	"numInconRight"
"001"	200	0	0	0
"003"	50	50	50	50
"005"	50	50	50	50
"006"	200	0	0	0
"008"	50	50	50	50
"011"	200	0	0	0
"012"	50	50	50	50
"017"	50	50	50	50
"018"	50	50	50	50
"019"	50	50	50	50
"020"	50	50	50	50
"023"	50	50	50	50
"024"	34	37	38	41
"028"	50	50	50	50
"031"	50	50	50	50
"032"	50	50	50	50
"034"	50	50	50	50
"035"	50	50	50	50
"036"	50	50	50	50
"037"	50	50	50	50
"039"	50	50	50	49
"040"	50	50	50	50
"041"	50	50	50	50
"042"	50	50	50	50
"043"	50	50	50	50
"044"	50	50	50	50
"045"	50	50	50	50
"046"	50	50	50	50
"047"	50	50	50	50
"050"	50	50	50	50
"051"	50	50	50	50
"052"	50	50	50	50
"054"	50	50	50	50
"057"	50	50	50	50
"060"	50	50	50	50
"061"	50	50	50	50
"062"	50	50	50	50
"063"	50	50	50	50
"064"	50	50	50	50
"066"	50	50	50	50
"067"	50	50	50	50
"068"	49	49	49	48
"069"	50	50	50	50
"070"	50	50	50	50
"071"	50	50	50	50
"072"	50	50	50	50
"073"	50	50	50	50
"079"	50	50	50	50
"080"	50	50	50	50
"087"	50	50	50	50
"088"	50	50	50	50
"089"	50	50	50	50
"091"	50	50	50	50
"092"	50	50	50	50
"093"	50	50	50	50
"094"	50	50	50	50
"095"	50	50	50	50
"096"	50	50	50	50
"097"	50	50	50	50
"098"	50	50	50	50
"099"	50	50	50	50
"100"	50	50	50	50
"101"	50	50	50	50
"103"	50	50	50	50
"105"	50	50	50	50
"106"	50	50	50	50
"107"	50	50	50	50
"108"	50	50	50	50
"109"	50	48	50	50
"113"	50	50	50	50
"114"	50	50	50	50
"115"	50	50	50	50
"116"	50	50	50	50
