"Time"	"FZ"	"FCZ"	"CZ"	"CPZ"	"PZ"	"F3"	"F4"	"FC3"	"FC4"	"C3"	"C4"	"CP3"	"CP4"	"P3"	"P4"	"F1"	"F2"	"C1"	"C2"	"P1"	"P2"	"Subject"	"Condition"
"1"	-400	-2.03897096774194	-2.78516129032258	-3.48535806451613	-3.84466774193548	-3.46868064516129	-2.23572903225806	-1.59093225806452	-2.75659032258064	-2.10530322580645	-3.51194838709677	-2.5432064516129	-3.77663870967742	-2.09869677419355	-3.13903225806452	-1.67704193548387	-2.04196451612903	-1.52509032258065	-3.84008064516129	-2.32076451612903	-2.99806129032258	-1.98562903225806	"071"	"Incorrect"
"2"	-398	-1.76790967741935	-2.52061612903226	-3.24806451612903	-3.64764838709677	-3.28554516129032	-1.94195483870968	-1.51677419354839	-2.47647096774194	-1.98175806451613	-3.31205806451613	-2.43141290322581	-3.61800967741935	-1.89159677419355	-3.05348709677419	-1.4336064516129	-2.01554516129032	-1.69522903225806	-3.78243870967742	-2.37721290322581	-3.06483548387097	-1.97004838709677	"071"	"Incorrect"
"3"	-396	-1.40347096774194	-2.21583225806452	-3.00188709677419	-3.48634838709677	-3.18657096774194	-1.53993548387097	-1.34907741935484	-2.10306774193548	-1.82974193548387	-3.02998709677419	-2.34605806451613	-3.43526774193548	-1.79891935483871	-2.99277419354839	-1.35051290322581	-1.92734193548387	-1.77856129032258	-3.74275483870968	-2.46799677419355	-3.20082258064516	-2.04348387096774	"071"	"Incorrect"
"4"	-394	-1.06480967741935	-1.9658	-2.82056451612903	-3.39995483870968	-3.19983870967742	-1.17822258064516	-1.15696774193548	-1.7629935483871	-1.7233	-2.83150967741935	-2.32925483870968	-3.29696774193548	-1.85222258064516	-2.98474516129032	-1.42946451612903	-1.79107419354839	-1.7674935483871	-3.71823870967742	-2.56693870967742	-3.36256774193548	-2.17718387096774	"071"	"Incorrect"
"5"	-392	-0.741435483870968	-1.70371935483871	-2.61086451612903	-3.25643548387097	-3.13627741935484	-0.904196774193548	-0.85231935483871	-1.47334193548387	-1.54531290322581	-2.72190322580645	-2.22759032258065	-3.11798387096774	-1.84829677419355	-2.87739032258064	-1.43685806451613	-1.56119677419355	-1.62166129032258	-3.59401290322581	-2.54058064516129	-3.38848387096774	-2.19190967741935	"071"	"Incorrect"
"6"	-390	-0.450712903225806	-1.41425161290323	-2.36567096774194	-3.04331290322581	-2.96795806451613	-0.668551612903226	-0.490158064516129	-1.2077064516129	-1.30297419354839	-2.61063548387097	-2.03094838709677	-2.86928064516129	-1.73534516129032	-2.6772064516129	-1.34049032258065	-1.28055161290323	-1.4377935483871	-3.35330967741935	-2.37918709677419	-3.26974838709677	-2.0664064516129	"071"	"Incorrect"
"7"	-388	-0.326967741935484	-1.22154516129032	-2.19071935483871	-2.86949032258065	-2.79620322580645	-0.523632258064516	-0.308003225806452	-1.00678064516129	-1.16046129032258	-2.44964838709677	-1.88810322580645	-2.64892580645161	-1.6089	-2.52863870967742	-1.1785	-1.08536774193548	-1.41348387096774	-3.09883548387097	-2.19457096774194	-3.11720322580645	-1.8833935483871	"071"	"Incorrect"
"8"	-386	-0.38181935483871	-1.16222580645161	-2.10235161290323	-2.76107741935484	-2.6392064516129	-0.507593548387097	-0.370277419354839	-0.905212903225806	-1.14836774193548	-2.29113548387097	-1.83235483870968	-2.50396774193548	-1.48938387096774	-2.44835161290323	-0.937774193548387	-1.00417419354839	-1.54217741935484	-2.88415806451613	-2.03996129032258	-2.9646935483871	-1.6681064516129	"071"	"Incorrect"
"9"	-384	-0.505970967741936	-1.19468709677419	-2.09168709677419	-2.75555483870968	-2.59027741935484	-0.593483870967742	-0.527577419354839	-0.938045161290323	-1.20008709677419	-2.24048064516129	-1.8369	-2.4767064516129	-1.43992258064516	-2.45616451612903	-0.794216129032258	-0.958341935483871	-1.64188064516129	-2.72334516129032	-1.92413870967742	-2.84113225806452	-1.48255806451613	"071"	"Incorrect"
"10"	-382	-0.656187096774193	-1.31994838709677	-2.21793870967742	-2.94303870967742	-2.78977741935484	-0.783177419354839	-0.631961290322581	-1.13772258064516	-1.27974193548387	-2.39223870967742	-1.91294838709677	-2.64839677419355	-1.55393225806452	-2.66402903225806	-0.935529032258064	-0.910367741935484	-1.62991935483871	-2.65260967741935	-1.85728064516129	-2.81668387096774	-1.40513870967742	"071"	"Incorrect"
"11"	-380	-0.742832258064516	-1.46117096774194	-2.42782258064516	-3.27005483870968	-3.18738709677419	-0.971393548387097	-0.576503225806452	-1.40983225806452	-1.29744516129032	-2.71609677419355	-1.99119677419355	-2.98555161290323	-1.74415161290323	-3.06336774193548	-1.23219032258065	-0.847087096774194	-1.51234193548387	-2.69413870967742	-1.83760322580645	-2.93820322580645	-1.46441290322581	"071"	"Incorrect"
