"Condition"	"FZ"	"FCZ"	"CZ"	"CPZ"	"PZ"	"F3"	"F4"	"FC3"	"FC4"	"C3"	"C4"	"CP3"	"CP4"	"P3"	"P4"	"F1"	"F2"	"C1"	"C2"	"P1"	"P2"	"Subject"
"1"	"Correct"	5.08428915801615	8.93830916430743	12.7371684806543	13.1468383139352	11.5061017196183	4.99999943378421	5.66520976197966	8.40304982698962	8.80050437244416	10.6947926916221	10.8665712068785	10.4707376743211	10.6460172486107	9.16044574813883	9.0214381251966	6.94747153192828	7.21237319911922	12.9493500471846	12.5465359651882	8.21671829715843	9.99813663625878	1
"2"	"Incorrect"	-1.05719355742297	1.24484117647059	6.5850268907563	9.45168011204482	9.74807254901961	-1.19911540616246	-1.23230756302521	2.25774817927171	1.38761540616246	4.60771008403361	5.3627324929972	7.03931596638655	7.50615294117647	8.37502829131653	8.27360952380952	0.0205610644257703	0.459695798319328	6.47341652661064	7.2850218487395	8.61088011204482	9.83074005602241	1
"3"	"Correct"	1.25570799822754	3.01017696909272	4.65783142793841	6.70508038107898	7.2691119530298	2.20627236069569	1.0456796831727	4.37429739669879	3.25726420737787	6.46959289908054	5.51171360363354	7.49898124515343	6.89681534286031	7.62304565193309	7.65340103024261	2.20964054503157	1.68793281267309	5.19418831283926	4.87578521103357	6.79589379638861	7.1865110667996	3
"4"	"Incorrect"	3.79282972136223	5.0514399380805	4.69446584107327	4.75562332301342	3.40189473684211	4.42536800825593	4.29450185758514	4.72012425180599	4.56715758513932	4.87041011351909	4.96511279669763	4.16213808049536	4.96436831785346	3.54484416924665	4.6880395252838	4.16951867905057	4.09147729618163	4.28492321981424	3.97984024767802	3.88840474716202	3.49383013415893	3
"5"	"Correct"	3.94495584525702	8.54543055643879	11.534927281399	12.5637078961314	11.580630800212	2.9247804981452	4.05247684154743	5.57600139904611	6.06408636989931	8.36523409644939	8.08933843137255	9.52171583465819	9.02956917859036	10.7124215898251	9.72686057233704	5.31242151563328	5.56925994700583	10.7168864758877	9.86544959194489	11.2061630630631	9.45022317965024	5
"6"	"Incorrect"	-2.21070130718954	-3.56802075163399	-1.52276617647059	-2.53223382352941	-0.562431699346405	-3.70119656862745	-1.63401617647059	-3.30836879084967	-1.93322712418301	-2.57960490196078	-0.829650980392157	-2.30135522875817	-0.0153403594771242	-0.840247058823529	0.83164362745098	-0.370176633986928	0.318408823529412	-0.682229901960784	-0.0950444444444444	-0.553017973856209	1.11609330065359	5
"7"	"Correct"	12.7906296503787	16.4867629525884	18.447467631497	17.3624455441436	13.6324828405436	11.5525578483245	11.6600936715427	14.7601255420687	13.8127912127814	16.0568245979873	15.4851304388422	15.1932623301172	14.8557965660338	11.7725188090051	12.2528354082374	10.0442473804337	9.74780745928001	14.2873214441332	14.1329555659301	9.59708619151364	9.8910083307397	6
"8"	"Incorrect"	14.6758207282913	17.8604277310924	23.6601840336134	24.4409913165266	21.0542837535014	12.2352599439776	15.0184882352941	17.6360103641457	18.0638005602241	20.7093526610644	19.4013112044818	20.0700798319328	19.1637509803922	17.5308291316527	18.1602840336134	13.1940134453782	13.5796165266106	20.6343484593838	20.6652823529412	16.7603011204482	17.2474504201681	6
"9"	"Correct"	1.65553634910486	6.22177442455243	9.73498560315431	12.1276327578858	11.5120622868713	1.31248889599318	1.98012250639386	4.38817368925831	5.74850905797101	7.70485870630861	8.82588124467178	10.3575093243819	10.1022997335891	11.3033871376812	9.94192072676897	3.64185345268542	3.61416786018755	9.36502436061381	9.83582426470588	11.6025864556692	10.2802869458653	11
"10"	"Incorrect"	1.66900896358543	3.82355154061625	5.69399495798319	7.57776582633053	6.5152162464986	0.216866666666667	0.695052941176471	0.946971988795518	1.24377731092437	2.9776675070028	3.54725742296919	4.35875406162465	4.03597142857143	4.30512773109244	3.83533417366947	4.62793725490196	3.16066554621849	5.00528207282913	4.86209775910364	5.45390504201681	5.26344089635854	11
"11"	"Correct"	0.84258778280543	2.64527615815557	4.51846243266537	5.99827544710192	5.59337821590174	0.621850409394527	0.899966569704805	2.4960733785822	2.39946101055807	4.37690091575092	4.56189420383538	4.31122446670976	5.20429248006895	4.0537152014652	4.24966473820297	0.716603307476837	0.824154460245637	3.77637686920922	3.77562525317819	3.58693107088989	3.49497610428787	12
"12"	"Incorrect"	-0.903701797385621	0.244300163398693	2.56155571895425	5.48731160130719	6.63401503267974	-1.2128045751634	0.342920424836601	-0.131320261437909	1.95732058823529	2.49410049019608	3.18303496732026	4.35396650326797	4.69185751633987	4.42048790849673	4.73016323529412	-2.22308071895425	-2.1092864379085	0.726578431372549	2.50962369281046	3.79571258169935	4.62861535947712	12
"13"	"Correct"	8.95539621443953	12.5086930409158	14.3674927008954	13.7888928369035	11.5782145075371	8.51187834070044	9.20098475575201	10.5852501983452	11.0542422872039	12.1343743737958	12.8782105519665	12.1248702368809	12.5740602742831	10.6714769579508	10.8215843363935	10.4544179530772	10.4235543919302	14.1810412444747	14.8866866598663	11.328991510824	12.0739857304772	17
"14"	"Incorrect"	-1.85173536673929	0.151012563543936	2.70259767610748	4.14016586782861	3.85476318082789	-0.477767247639797	0.331772839506173	1.23682832244009	2.15439992737836	3.37092461873638	3.88663522149601	4.45238809005084	4.62077632534495	4.3144758896151	3.9079684822077	0.157094625998548	0.649464124909223	3.81440377632534	4.55495758896151	4.31904386347131	4.59245337690632	17
"15"	"Correct"	1.9856846266166	3.83777343554443	5.28912588652482	6.54080850020859	6.3719923028786	2.75242081768878	1.39212186065916	2.74872529203171	2.74645560075094	4.46393939299124	4.2723115456821	5.2684	5.14455437004589	4.9392406654151	4.82920277430121	0.490016343345849	0.492666134751773	3.85734187526074	3.6501186691698	4.18703149770547	4.43874599499374	18
"16"	"Incorrect"	-0.605605042016807	0.391185154061625	3.86608151260504	4.26147086834734	6.99482941176471	0.822889355742297	-0.813474789915966	0.715003361344538	0.33633025210084	4.81849551820728	1.77212296918767	5.80651456582633	3.86110336134454	6.10140616246499	4.60915910364146	0.575003361344538	-0.699792156862745	3.45560056022409	3.31016694677871	6.04223753501401	5.28059971988796	18
"17"	"Correct"	3.866548266553	6.364817504973	8.46775385052572	8.5172607274794	7.83277212276215	3.12641224779767	3.21295507246377	5.21769015345269	4.99279197215118	6.53584352088662	6.30212944018187	6.93314624893436	7.04785799943166	6.45647668371697	6.69291771810173	2.21456636828644	2.19638573458369	6.40167216538789	6.11152439613527	5.53557780619494	6.19567958226769	19
"18"	"Incorrect"	3.90698951994591	5.49399503042596	7.56549492900608	7.52039536849222	6.7852138607167	3.1255576402975	3.12466379310345	4.72726544962813	4.78172437457742	5.64195094658553	5.9806375591616	6.10107346179851	6.48440682893847	5.68201784989858	6.08575949966193	1.95087653820149	1.92634607843137	5.21081771467208	5.35549486139283	4.94387275185936	5.23241521298174	19
"19"	"Correct"	9.34634997321333	13.9845640094289	16.9606278688525	18.6135805207329	17.7956859423551	6.39001783992285	8.14722262937962	9.71838897460624	11.733833376192	12.248027300975	14.3241669238187	14.0348723561556	15.4405978784957	14.3698135969142	14.3326971177542	9.40137957784207	9.62937892424729	15.8926538412086	16.0646633344048	16.635870534662	16.357483167256	20
"20"	"Incorrect"	-1.95592122260669	-1.19918915801615	2.20946966551326	7.8334753171857	9.72073229527105	-1.00150911188005	1.18977762399077	1.34037877739331	2.93782791234141	4.59310161476355	5.41896124567474	7.34465409457901	7.67383194925029	8.95521084198385	8.25868339100346	0.380387543252595	0.722025720876586	5.482476816609	5.61360369088812	10.3255365628604	9.63007808535179	20
"21"	"Correct"	2.71695059101655	3.13981397580309	3.23079477124183	1.71357528855514	-0.608659101654846	2.97002660269782	2.09144035600056	3.29490947017105	2.29810258656654	3.28591693783897	2.08130752329301	2.23082180503407	0.785184828257544	0.586510846891948	-1.2025768321513	4.19550803782506	3.55798664997914	3.84867356417744	3.27187758308997	-2.21871998331247	-1.05468403560006	23
"22"	"Incorrect"	-0.170886194477791	0.288882553021208	1.39517402961184	2.2759837535014	2.29836278511405	-0.246124369747899	-0.0321140856342537	1.10568371348539	0.703674549819928	1.17690444177671	1.62591336534614	2.48560792316927	2.17272036814726	2.7080118847539	1.8668481392557	1.38866602641056	1.53138283313325	2.75497707082833	2.46654173669468	2.48951016406563	2.30843033213285	23
"23"	"Correct"	2.78844027318793	4.38243100903283	5.98021392377176	7.53497062128222	7.54383013879709	2.59270564000881	2.52749480061688	3.7654068627451	4.42448346552104	5.29061987221855	6.09299272967614	5.5849650583829	7.10901369244327	5.51601065212602	7.1508975214805	3.26981304252038	3.12099758757436	5.95949098920467	6.45455995814056	5.76807358448998	6.96019196959683	28
"24"	"Incorrect"	-0.603570308123249	-0.190722408963585	2.84742492997199	5.19649215686275	6.8681649859944	2.11852408963585	-1.81686330532213	3.18508767507003	-0.0568282913165266	4.56142128851541	2.88109691876751	6.17392296918768	5.41258879551821	6.11669383753501	6.19382969187675	3.37040420168067	2.66625294117647	5.7492974789916	3.89804705882353	6.73298319327731	6.98682156862745	28
"25"	"Correct"	6.22813360500827	8.15772085991023	8.40825740609497	8.37925915426412	7.03534370422868	6.32923652256083	8.00564688164422	8.03719924403496	9.14768916843846	8.37123815261044	8.94458412473423	7.96078990077959	8.61040742971888	6.27332850224427	6.79827761634774	5.71239987006851	6.97210466572171	7.44382029293645	8.03578523505788	5.6827044885424	5.6961062248996	31
"26"	"Incorrect"	2.7305108496732	3.85664019607843	4.74483718954248	4.77324424836601	3.90081307189543	3.52889869281046	4.94822620915033	4.00787	5.49135673202614	4.50901522875817	5.59688169934641	5.0224945751634	5.57716065359477	3.51216241830065	4.42970156862745	3.01432333333333	3.78045326797386	4.20757052287582	4.72336895424837	2.77609954248366	3.60232928104575	31
"27"	"Correct"	5.35305732843137	7.09186871323529	7.84990416666667	6.98725395833333	5.19796319852941	5.64686330882353	4.73891143382353	6.7970862377451	5.39509379901961	6.79116335784314	5.37138007352941	6.28010052696078	5.02754987745098	5.18290362745098	3.93750110294118	5.49896680147059	4.73727360294118	6.83118892156863	5.81138784313725	3.72332822303922	3.84961875	32
