"Subject"	"Trial"	"Electrode"	"MeanAmp"	"Condition"	"Race"	"Fix"
1	2	"CZ"	-6.37817049180328	"White_eyes"	"White"	"eyes"
1	2	"CPZ"	-0.646618032786885	"White_eyes"	"White"	"eyes"
1	2	"PZ"	2.43790655737705	"White_eyes"	"White"	"eyes"
1	2	"C3"	-7.39901967213115	"White_eyes"	"White"	"eyes"
1	2	"C4"	-0.104565573770492	"White_eyes"	"White"	"eyes"
1	2	"CP3"	-5.70403114754098	"White_eyes"	"White"	"eyes"
1	2	"CP4"	0.638367213114754	"White_eyes"	"White"	"eyes"
1	7	"CZ"	20.4607836065574	"White_eyes"	"White"	"eyes"
1	7	"CPZ"	24.8055360655738	"White_eyes"	"White"	"eyes"
1	7	"PZ"	20.694668852459	"White_eyes"	"White"	"eyes"
1	7	"C3"	16.3581639344262	"White_eyes"	"White"	"eyes"
1	7	"C4"	9.61128360655738	"White_eyes"	"White"	"eyes"
1	7	"CP3"	10.2028737704918	"White_eyes"	"White"	"eyes"
1	7	"CP4"	13.2186114754098	"White_eyes"	"White"	"eyes"
1	11	"CZ"	10.7009163934426	"White_eyes"	"White"	"eyes"
1	11	"CPZ"	10.0625426229508	"White_eyes"	"White"	"eyes"
1	11	"PZ"	12.2335475409836	"White_eyes"	"White"	"eyes"
1	11	"C3"	12.1537475409836	"White_eyes"	"White"	"eyes"
1	11	"C4"	12.7425901639344	"White_eyes"	"White"	"eyes"
1	11	"CP3"	19.0437163934426	"White_eyes"	"White"	"eyes"
1	11	"CP4"	10.8770131147541	"White_eyes"	"White"	"eyes"
1	12	"CZ"	15.2547918032787	"Black_eyes"	"Black"	"eyes"
1	12	"CPZ"	17.7312114754098	"Black_eyes"	"Black"	"eyes"
1	12	"PZ"	12.0877114754098	"Black_eyes"	"Black"	"eyes"
1	12	"C3"	17.7559786885246	"Black_eyes"	"Black"	"eyes"
1	12	"C4"	8.14194098360656	"Black_eyes"	"Black"	"eyes"
1	12	"CP3"	5.87738196721311	"Black_eyes"	"Black"	"eyes"
1	12	"CP4"	11.0393590163934	"Black_eyes"	"Black"	"eyes"
1	13	"CZ"	3.39545409836066	"White_eyes"	"White"	"eyes"
1	13	"CPZ"	2.67729180327869	"White_eyes"	"White"	"eyes"
1	13	"PZ"	4.40529344262295	"White_eyes"	"White"	"eyes"
1	13	"C3"	2.60025245901639	"White_eyes"	"White"	"eyes"
1	13	"C4"	9.58651803278689	"White_eyes"	"White"	"eyes"
1	13	"CP3"	4.3750131147541	"White_eyes"	"White"	"eyes"
1	13	"CP4"	9.82315901639344	"White_eyes"	"White"	"eyes"
1	15	"CZ"	-2.38837049180328	"Black_eyes"	"Black"	"eyes"
1	15	"CPZ"	-3.21935901639344	"Black_eyes"	"Black"	"eyes"
1	15	"PZ"	-1.77476885245902	"Black_eyes"	"Black"	"eyes"
1	15	"C3"	-7.38800655737705	"Black_eyes"	"Black"	"eyes"
1	15	"C4"	4.57588196721311	"Black_eyes"	"Black"	"eyes"
1	15	"CP3"	-4.82903114754098	"Black_eyes"	"Black"	"eyes"
1	15	"CP4"	4.21542459016393	"Black_eyes"	"Black"	"eyes"
1	17	"CZ"	4.31723606557377	"Black_eyes"	"Black"	"eyes"
1	17	"CPZ"	8.01537049180328	"Black_eyes"	"Black"	"eyes"
1	17	"PZ"	8.25474918032787	"Black_eyes"	"Black"	"eyes"
1	17	"C3"	3.51652131147541	"Black_eyes"	"Black"	"eyes"
1	17	"C4"	-1.6949737704918	"Black_eyes"	"Black"	"eyes"
1	17	"CP3"	1.84631147540984	"Black_eyes"	"Black"	"eyes"
1	17	"CP4"	1.47209180327869	"Black_eyes"	"Black"	"eyes"
1	18	"CZ"	26.6738639344262	"Black_eyes"	"Black"	"eyes"
1	18	"CPZ"	27.9918770491803	"Black_eyes"	"Black"	"eyes"
1	18	"PZ"	15.5849786885246	"Black_eyes"	"Black"	"eyes"
1	18	"C3"	24.8440557377049	"Black_eyes"	"Black"	"eyes"
1	18	"C4"	18.1081770491803	"Black_eyes"	"Black"	"eyes"
1	18	"CP3"	8.7693	"Black_eyes"	"Black"	"eyes"
1	18	"CP4"	15.4006114754098	"Black_eyes"	"Black"	"eyes"
1	19	"CZ"	7.36324262295082	"Black_eyes"	"Black"	"eyes"
1	19	"CPZ"	10.3377016393443	"Black_eyes"	"Black"	"eyes"
1	19	"PZ"	10.874262295082	"Black_eyes"	"Black"	"eyes"
1	19	"C3"	6.72762950819672	"Black_eyes"	"Black"	"eyes"
1	19	"C4"	1.70597213114754	"Black_eyes"	"Black"	"eyes"
1	19	"CP3"	15.6702737704918	"Black_eyes"	"Black"	"eyes"
1	19	"CP4"	4.46307704918033	"Black_eyes"	"Black"	"eyes"
1	20	"CZ"	-10.1148262295082	"Black_eyes"	"Black"	"eyes"
1	20	"CPZ"	-9.63054590163934	"Black_eyes"	"Black"	"eyes"
1	20	"PZ"	-3.84670819672131	"Black_eyes"	"Black"	"eyes"
1	20	"C3"	-5.54443606557377	"Black_eyes"	"Black"	"eyes"
1	20	"C4"	-8.0979131147541	"Black_eyes"	"Black"	"eyes"
1	20	"CP3"	-6.4359606557377	"Black_eyes"	"Black"	"eyes"
1	20	"CP4"	-3.50551967213115	"Black_eyes"	"Black"	"eyes"
1	23	"CZ"	9.84517213114754	"Black_eyes"	"Black"	"eyes"
1	23	"CPZ"	21.7127573770492	"Black_eyes"	"Black"	"eyes"
1	23	"PZ"	7.65215245901639	"Black_eyes"	"Black"	"eyes"
1	23	"C3"	7.14587213114754	"Black_eyes"	"Black"	"eyes"
1	23	"C4"	-7.52833442622951	"Black_eyes"	"Black"	"eyes"
1	23	"CP3"	17.8577819672131	"Black_eyes"	"Black"	"eyes"
1	23	"CP4"	1.40331803278689	"Black_eyes"	"Black"	"eyes"
1	31	"CZ"	12.4013885245902	"White_eyes"	"White"	"eyes"
1	31	"CPZ"	17.3569967213115	"White_eyes"	"White"	"eyes"
1	31	"PZ"	17.0873459016393	"White_eyes"	"White"	"eyes"
1	31	"C3"	16.6415803278689	"White_eyes"	"White"	"eyes"
1	31	"C4"	3.92926229508197	"White_eyes"	"White"	"eyes"
1	31	"CP3"	24.8605655737705	"White_eyes"	"White"	"eyes"
1	31	"CP4"	7.24492295081967	"White_eyes"	"White"	"eyes"
1	33	"CZ"	-15.6757737704918	"Black_eyes"	"Black"	"eyes"
1	33	"CPZ"	-14.9493540983607	"Black_eyes"	"Black"	"eyes"
1	33	"PZ"	-13.6368540983607	"Black_eyes"	"Black"	"eyes"
1	33	"C3"	-11.4988737704918	"Black_eyes"	"Black"	"eyes"
1	33	"C4"	-23.949793442623	"Black_eyes"	"Black"	"eyes"
1	33	"CP3"	-9.4049131147541	"Black_eyes"	"Black"	"eyes"
1	33	"CP4"	-11.2869918032787	"Black_eyes"	"Black"	"eyes"
1	34	"CZ"	-0.0467770491803279	"White_eyes"	"White"	"eyes"
1	34	"CPZ"	1.74725737704918	"White_eyes"	"White"	"eyes"
1	34	"PZ"	2.87265737704918	"White_eyes"	"White"	"eyes"
1	34	"C3"	-0.646622950819672	"White_eyes"	"White"	"eyes"
1	34	"C4"	8.47763606557377	"White_eyes"	"White"	"eyes"
1	34	"CP3"	-14.2036786885246	"White_eyes"	"White"	"eyes"
1	34	"CP4"	7.52834426229508	"White_eyes"	"White"	"eyes"
1	37	"CZ"	12.5307147540984	"White_eyes"	"White"	"eyes"
1	37	"CPZ"	18.2980344262295	"White_eyes"	"White"	"eyes"
1	37	"PZ"	22.1199819672131	"White_eyes"	"White"	"eyes"
1	37	"C3"	16.2563573770492	"White_eyes"	"White"	"eyes"
1	37	"C4"	13.9615409836066	"White_eyes"	"White"	"eyes"
1	37	"CP3"	15.3483442622951	"White_eyes"	"White"	"eyes"
1	37	"CP4"	14.2532098360656	"White_eyes"	"White"	"eyes"
1	38	"CZ"	-9.69933606557377	"Black_eyes"	"Black"	"eyes"
1	38	"CPZ"	-6.33414590163934	"Black_eyes"	"Black"	"eyes"
1	38	"PZ"	-3.91825245901639	"Black_eyes"	"Black"	"eyes"
1	38	"C3"	-14.2559655737705	"Black_eyes"	"Black"	"eyes"
1	38	"C4"	-18.7548	"Black_eyes"	"Black"	"eyes"
1	38	"CP3"	2.10221475409836	"Black_eyes"	"Black"	"eyes"
1	38	"CP4"	-15.2822950819672	"Black_eyes"	"Black"	"eyes"
1	39	"CZ"	17.2084081967213	"White_eyes"	"White"	"eyes"
1	39	"CPZ"	16.7076262295082	"White_eyes"	"White"	"eyes"
1	39	"PZ"	14.965868852459	"White_eyes"	"White"	"eyes"
1	39	"C3"	20.3424639344262	"White_eyes"	"White"	"eyes"
1	39	"C4"	13.7304081967213	"White_eyes"	"White"	"eyes"
1	39	"CP3"	23.2894180327869	"White_eyes"	"White"	"eyes"
1	39	"CP4"	11.6639655737705	"White_eyes"	"White"	"eyes"
1	43	"CZ"	6.46072295081967	"Black_eyes"	"Black"	"eyes"
1	43	"CPZ"	6.74413934426229	"Black_eyes"	"Black"	"eyes"
1	43	"PZ"	-0.839232786885246	"Black_eyes"	"Black"	"eyes"
1	43	"C3"	2.01415901639344	"Black_eyes"	"Black"	"eyes"
1	43	"C4"	4.73823114754098	"Black_eyes"	"Black"	"eyes"
1	43	"CP3"	-6.51299836065574	"Black_eyes"	"Black"	"eyes"
1	43	"CP4"	5.7893393442623	"Black_eyes"	"Black"	"eyes"
1	44	"CZ"	7.81724918032787	"Black_eyes"	"Black"	"eyes"
1	44	"CPZ"	6.96150655737705	"Black_eyes"	"Black"	"eyes"
1	44	"PZ"	9.99650163934426	"Black_eyes"	"Black"	"eyes"
1	44	"C3"	4.98587213114754	"Black_eyes"	"Black"	"eyes"
1	44	"C4"	4.81802295081967	"Black_eyes"	"Black"	"eyes"
