"Subject"	"Electrode"	"Race"	"MeanAmp"
1	"C3"	"Black"	3.19833252459016
1	"C3"	"White"	6.44898457678153
1	"C4"	"Black"	2.57212609836066
1	"C4"	"White"	7.07494145199063
1	"CP3"	"Black"	2.82290540983607
1	"CP3"	"White"	5.05527885580462
1	"CP4"	"Black"	2.84750481967213
1	"CP4"	"White"	7.00733235195718
1	"CPZ"	"Black"	4.66057957377048
1	"CPZ"	"White"	8.20904386082302
1	"CZ"	"Black"	4.4569075409836
1	"CZ"	"White"	6.91894389427902
1	"PZ"	"Black"	3.49913557377049
1	"PZ"	"White"	7.56068036132486
2	"C3"	"Black"	3.75484262295082
2	"C3"	"White"	1.30392503473187
2	"C4"	"Black"	3.76034681238615
2	"C4"	"White"	3.3776399833287
2	"CP3"	"Black"	3.56559571948998
2	"CP3"	"White"	1.32313867741039
2	"CP4"	"Black"	4.24350336976321
2	"CP4"	"White"	3.2246710752987
2	"CPZ"	"Black"	4.69303175470553
2	"CPZ"	"White"	3.59352264517922
2	"CZ"	"Black"	4.24849802671524
2	"CZ"	"White"	3.24654312308975
2	"PZ"	"Black"	4.67575856102004
2	"PZ"	"White"	3.04791669908308
3	"C3"	"Black"	4.78193845740393
3	"C3"	"White"	5.29269497788186
3	"C4"	"Black"	6.35512437516797
3	"C4"	"White"	6.90368253968254
3	"CP3"	"Black"	5.09404028486966
3	"CP3"	"White"	5.95228922716628
3	"CP4"	"Black"	7.08118043536683
3	"CP4"	"White"	7.84070663544107
3	"CPZ"	"Black"	5.95573757054555
3	"CPZ"	"White"	7.55161475409836
3	"CZ"	"Black"	5.44894920720236
3	"CZ"	"White"	6.91093221441582
3	"PZ"	"Black"	5.50109481322225
3	"PZ"	"White"	7.0396885506115
4	"C3"	"Black"	4.79433734853884
4	"C3"	"White"	1.76434534081105
4	"C4"	"Black"	4.45894326443336
4	"C4"	"White"	1.19498541846419
4	"CP3"	"Black"	4.8322606557377
4	"CP3"	"White"	1.57332709232096
4	"CP4"	"Black"	4.42131910192445
4	"CP4"	"White"	0.642495297670407
4	"CPZ"	"Black"	7.0080475409836
4	"CPZ"	"White"	2.86903421052632
4	"CZ"	"Black"	6.48979112615823
4	"CZ"	"White"	2.76512424503882
4	"PZ"	"Black"	6.47627348538845
4	"PZ"	"White"	2.67873960310613
5	"C3"	"Black"	6.8234863035431
5	"C3"	"White"	4.36889881288864
5	"C4"	"Black"	6.85646044420941
5	"C4"	"White"	5.20576204070096
5	"CP3"	"Black"	4.67729439450026
5	"CP3"	"White"	3.74334154889768
5	"CP4"	"Black"	5.73052974616605
5	"CP4"	"White"	4.70539923685698
5	"CPZ"	"Black"	6.28426480698043
5	"CPZ"	"White"	5.09911212549463
5	"CZ"	"Black"	7.61558675304072
5	"CZ"	"White"	5.14565330695308
5	"PZ"	"Black"	4.97024899524062
5	"PZ"	"White"	4.27781283210854
6	"C3"	"Black"	5.0111537581194
6	"C3"	"White"	5.91246775956284
6	"C4"	"Black"	3.91716557377049
6	"C4"	"White"	4.12972790300546
