"effect"	"power"	"lower"	"upper"
-0.15	0.233	0.20711600666527	0.260465979124527
-0.2	0.359	0.329220243460354	0.389612790795902
-0.25	0.513	0.481521253826421	0.544402007745872
-0.3	0.674	0.643967010717149	0.703004475760433
-0.35	0.791	0.764460130445922	0.815814032180608
-0.4	0.884	0.862513249450436	0.903194044730241
-0.45	0.953	0.937987369306695	0.965264937733204
-0.5	0.98	0.969279967317391	0.987741732027594
-0.55	0.996	0.98979033531607	0.998909092012274
-0.6	0.998	0.992794161088542	0.999757698883123
-0.65	1	0.996317916103134	1
