"nrow"	"numSubs"	"successes"	"trials"	"power"	"lower"	"upper"
70	5	164	1000	0.164	0.141566276454362	0.188431327526098
140	10	377	1000	0.377	0.346862354659549	0.40786417678951
210	15	569	1000	0.569	0.537641240440392	0.599951377575417
280	20	728	1000	0.728	0.69927522206362	0.755375498730961
350	25	814	1000	0.814	0.788471640730062	0.837664022358392
420	30	891	1000	0.891	0.870021634657065	0.90964185232308
490	35	932	1000	0.932	0.914586949808569	0.946811900239598
560	40	962	1000	0.962	0.948212896378036	0.972971184017016
630	45	981	1000	0.981	0.970487598374902	0.988522963006899
700	50	986	1000	0.986	0.976621843989686	0.992325498434979
770	55	991	1000	0.991	0.982984216930105	0.995876604339658
840	60	996	1000	0.996	0.98979033531607	0.998909092012274
910	65	999	1000	0.999	0.994441075720173	0.999974682512509
